aluminium,ammonia,arsenic,barium,cadmium,chloramine,chromium,copper,flouride,bacteria,viruses,lead,nitrates,nitrites,mercury,perchlorate,radium,selenium,silver,uranium,is_safe,aluminium_high,ammonia_high,arsenic_high,barium_high,cadmium_high,chloramine_high,chromium_high,copper_high,bacteria_high,viruses_high,lead_high,nitrates_high,nitrites_high,mercury_high,perchlorate_high,radium_high,selenium_high,silver_high,uranium_high,danger_count,nitrate_nitrite_ratio,copper_lead_ratio,bacteria_viruses,arsenic_mercury
1.65,9.08,0.04,2.85,0.007,0.35,0.83,0.17,0.05,0.2,0.0,0.054,16.08,1.13,0.007,37.75,6.78,0.08,0.34,0.02,1.0,0,0,1,1,1,0,1,0,1,0,1,1,1,1,0,1,0,1,0,11,14.23008849557522,3.1481481481481484,0.0,0.00028000000000000003
2.32,21.16,0.01,3.31,0.002,5.28,0.68,0.66,0.9,0.65,0.65,0.1,2.01,1.93,0.003,32.26,3.21,0.08,0.27,0.05,1.0,0,0,0,1,0,1,1,0,1,1,1,0,1,1,0,0,0,1,0,9,1.0414507772020725,6.6,0.42250000000000004,3e-05
1.01,14.02,0.04,0.58,0.008,4.24,0.53,0.02,0.99,0.05,0.003,0.078,14.16,1.11,0.006,50.28,7.07,0.07,0.44,0.01,0.0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,12,12.756756756756756,0.25641025641025644,0.00015000000000000001,0.00024
1.36,11.33,0.04,2.96,0.001,7.23,0.03,1.66,1.08,0.71,0.71,0.016,1.41,1.29,0.004,9.12,1.72,0.02,0.45,0.05,1.0,0,0,1,1,0,1,0,1,1,1,1,0,1,1,0,0,0,1,0,10,1.0930232558139534,103.74999999999999,0.5041,0.00016
0.92,24.33,0.03,0.2,0.006,2.67,0.69,0.57,0.7720247100353,0.13,0.001,0.117,6.74,1.11,0.003,16.9,2.41,0.02,0.06,0.02,1.0,0,0,1,0,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,8,6.072072072072071,4.871794871794871,0.00013000000000000002,8.999999999999999e-05
0.94,14.47,0.03,2.88,0.003,0.8,0.43,1.38,0.7720247100353,0.67,0.67,0.135,9.75,1.89,0.006,27.17,5.42,0.08,0.19,0.02,1.0,0,0,1,1,0,0,1,1,1,1,1,0,1,1,0,1,0,1,0,11,5.158730158730159,10.222222222222221,0.4489000000000001,0.00017999999999999998
2.36,5.6,0.01,1.35,0.004,1.28,0.62,1.88,0.7720247100353,0.13,0.007,0.021,18.6,1.78,0.007,45.34,2.84,0.1,0.24,0.08,0.0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,9,10.449438202247192,89.52380952380952,0.00091,7.000000000000001e-05
3.93,19.87,0.04,0.66,0.044026716572018586,6.22,0.1,1.86,0.7720247100353,0.16,0.005,0.197,13.65,1.81,0.001,53.35,7.24,0.08,0.08,0.07,0.0,1,0,1,0,1,1,0,1,1,1,1,1,1,0,0,1,0,0,0,11,7.541436464088398,9.441624365482234,0.0008,4e-05
0.6,24.58,0.01,0.71,0.044026716572018586,3.14,0.77,1.45,0.7720247100353,0.35,0.002,0.167,14.66,1.84,0.004,23.43,4.99,0.08,0.25,0.08,1.0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,10,7.967391304347826,8.682634730538922,0.0007,4e-05
0.22,16.76,0.02,1.37,0.044026716572018586,6.4,0.49,0.82,0.7720247100353,0.83,0.83,0.109,4.79,1.46,0.01,30.42,0.08,0.03,0.31,0.01,1.0,0,0,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,1,0,10,3.280821917808219,7.522935779816513,0.6889,0.0002
3.27,3.6,0.001,2.69,0.044026716572018586,5.75,0.15,0.6,0.7720247100353,0.04,0.008,0.145,8.47,1.25,0.006,55.4,7.8,0.05,0.33,0.06,0.0,1,0,0,1,1,1,1,0,1,1,1,0,1,1,0,1,0,1,0,12,6.776000000000001,4.137931034482759,0.00032,6e-06
1.35,21.96,0.04,0.84,0.044026716572018586,0.1,0.76,0.17,0.7720247100353,0.52,0.52,0.011,18.4,1.49,0.009,21.52,1.3,0.08,0.48,0.08,1.0,0,0,1,0,1,0,1,0,1,1,0,1,1,1,0,0,0,1,0,9,12.348993288590604,15.454545454545457,0.27040000000000003,0.00035999999999999997
1.88,19.26,0.02,2.78,0.044026716572018586,0.05,0.42,1.0,0.7720247100353,0.91,0.91,0.103,4.37,1.95,0.006,22.12,1.97,0.03,0.06,0.05,1.0,0,0,1,1,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,9,2.241025641025641,9.708737864077671,0.8281000000000001,0.00012
4.93,23.98,0.04,3.05,0.044026716572018586,0.7,0.51,1.35,0.7720247100353,0.7,0.7,0.101,1.16,1.11,0.008,26.8,5.58,0.09,0.38,0.03,1.0,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,1,0,13,1.0450450450450448,13.366336633663366,0.48999999999999994,0.00032
2.89,18.82,0.05,3.77,0.044026716572018586,5.99,0.54,0.79,0.7720247100353,0.2,0.009,0.126,17.56,1.82,0.009,17.54,4.33,0.1,0.05,0.02,1.0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,12,9.648351648351648,6.26984126984127,0.0018,0.00045
0.61,2.41,0.03,0.59,0.044026716572018586,1.94,0.77,1.54,0.7720247100353,0.23,0.001,0.017,1.99,1.08,0.007,11.16,0.98,0.01,0.47,0.03,1.0,0,0,1,0,1,0,1,1,1,1,1,0,1,1,0,0,0,1,0,10,1.8425925925925926,90.58823529411764,0.00023,0.00021
3.47,15.84,0.02,0.06,0.044026716572018586,5.29,0.47,1.08,0.7720247100353,0.89,0.89,0.08,1.91,1.2,0.008,0.18,6.89,0.06,0.12,0.08,1.0,1,0,1,0,1,1,1,0,1,1,1,0,1,1,0,1,0,1,0,12,1.5916666666666666,13.5,0.7921,0.00016
2.11,17.03,0.02,0.88,0.044026716572018586,7.78,0.88,1.15,0.7720247100353,0.85,0.85,0.065,17.86,1.53,0.003,19.4,1.14,0.1,0.4,0.01,1.0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0,11,11.673202614379084,17.69230769230769,0.7224999999999999,6e-05
4.88,26.94,0.02,0.36,0.044026716572018586,1.21,0.68,0.71,0.7720247100353,0.75,0.75,0.071,0.31,1.22,0.002,56.7,1.0,0.0,0.41,0.05,0.0,1,0,1,0,1,0,1,0,1,1,1,0,1,0,1,0,0,1,0,10,0.2540983606557377,10.0,0.5625,4e-05
4.12,17.99,0.02,3.43,0.044026716572018586,0.01,0.41,1.82,0.7720247100353,0.99,0.99,0.108,8.06,1.76,0.005,24.29,0.88,0.1,0.1,0.07,1.0,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,11,4.579545454545455,16.85185185185185,0.9801,0.0001
0.68,18.99,0.001,0.04,0.044026716572018586,4.57,0.2,1.18,0.7720247100353,0.92,0.92,0.086,9.46,1.41,0.007,21.79,3.05,0.03,0.13,0.08,1.0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,0,0,0,1,0,9,6.709219858156029,13.720930232558139,0.8464,7e-06
1.15,8.12,0.02,0.97,0.044026716572018586,3.47,0.65,1.51,0.7720247100353,0.58,0.58,0.061,8.96,1.5,0.004,14.6,1.74,0.03,0.01,0.06,1.0,0,0,1,0,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,9,5.973333333333334,24.75409836065574,0.3364,8e-05
0.27,10.67,0.02,0.55,0.044026716572018586,3.74,0.12,1.77,0.7720247100353,0.8,0.8,0.114,12.69,1.18,0.008,34.64,0.9,0.02,0.16,0.06,1.0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,11,10.754237288135593,15.526315789473683,0.6400000000000001,0.00016
4.32,20.64,0.03,2.6,0.044026716572018586,7.24,0.61,1.23,0.7720247100353,0.56,0.56,0.012,9.42,1.74,0.004,36.23,3.22,0.07,0.18,0.08,0.0,1,0,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,1,0,11,5.413793103448276,102.5,0.31360000000000005,0.00012
2.36,27.05,0.01,0.68,0.044026716572018586,4.07,0.13,1.34,0.7720247100353,0.96,0.96,0.167,15.05,1.92,0.002,56.32,7.99,0.06,0.5,0.06,0.0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,12,7.838541666666667,8.023952095808383,0.9216,2e-05
3.31,22.07,0.03,0.46,0.044026716572018586,7.22,0.73,1.05,0.7720247100353,0.25,0.007,0.109,1.92,1.07,0.001,39.4,0.49,0.04,0.47,0.05,1.0,1,0,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,1,0,10,1.7943925233644857,9.63302752293578,0.00175,3e-05
1.82,6.81,0.01,0.85,0.044026716572018586,2.55,0.25,1.09,0.7720247100353,0.16,0.002,0.031,16.99,1.7,0.007,44.76,1.15,0.08,0.26,0.08,1.0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,0,0,0,1,0,9,9.994117647058824,35.16129032258065,0.00032,7.000000000000001e-05
3.42,2.4,0.001,2.8,0.044026716572018586,2.87,0.73,0.27,0.7720247100353,0.44,0.002,0.11,13.73,1.69,0.009,55.27,3.29,0.04,0.17,0.0,0.0,1,0,0,1,1,0,1,0,1,1,1,1,1,1,0,0,0,1,0,11,8.124260355029586,2.4545454545454546,0.00088,9e-06
4.41,15.14,0.03,1.76,0.044026716572018586,6.63,0.62,1.57,0.7720247100353,0.69,0.69,0.182,1.49,1.81,0.008,24.91,2.39,0.01,0.2,0.05,1.0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,12,0.8232044198895028,8.626373626373628,0.4760999999999999,0.00024
4.57,25.84,0.01,3.04,0.044026716572018586,2.78,0.72,0.46,0.7720247100353,0.08,0.006,0.049,9.64,1.43,0.006,36.57,4.55,0.03,0.19,0.0,0.0,1,0,0,1,1,0,1,0,1,1,1,0,1,1,0,0,0,1,0,10,6.741258741258742,9.387755102040817,0.00048,6e-05
1.69,22.8,0.001,2.01,0.044026716572018586,5.87,0.78,1.53,0.7720247100353,0.13,0.008,0.079,8.64,1.19,0.007,24.61,7.77,0.06,0.11,0.05,1.0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,12,7.260504201680673,19.367088607594937,0.0010400000000000001,7e-06
1.87,6.1,0.05,3.74,0.044026716572018586,2.86,0.52,1.03,0.7720247100353,0.77,0.77,0.012,1.11,1.55,0.008,20.32,2.21,0.02,0.48,0.04,1.0,0,0,1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,1,0,9,0.7161290322580646,85.83333333333333,0.5929,0.0004
2.71,26.19,0.04,3.02,0.044026716572018586,4.0,0.17,1.56,0.7720247100353,0.38,0.005,0.013,11.0,1.0,0.006,14.16,6.16,0.05,0.05,0.08,1.0,0,0,1,1,1,0,1,1,1,1,0,1,0,1,0,1,0,0,0,10,11.0,120.00000000000001,0.0019,0.00024
1.63,15.75,0.03,2.54,0.044026716572018586,4.25,0.74,1.35,0.7720247100353,0.12,0.006,0.193,17.29,1.27,0.001,58.15,1.71,0.09,0.44,0.05,0.0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,13,13.614173228346456,6.994818652849741,0.0007199999999999999,3e-05
0.01,29.29,0.001,2.93,0.044026716572018586,7.75,0.68,1.09,0.7720247100353,0.8,0.8,0.091,17.33,1.86,0.001,43.09,3.76,0.09,0.3,0.0,0.0,0,0,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,10,9.317204301075268,11.97802197802198,0.6400000000000001,1e-06
4.49,4.07,0.05,1.87,0.044026716572018586,4.55,0.32,0.9,0.7720247100353,0.3,0.002,0.135,5.23,1.43,0.004,36.52,6.15,0.04,0.16,0.04,1.0,1,0,1,0,1,1,1,0,1,1,1,0,1,1,0,1,0,1,0,12,3.657342657342658,6.666666666666666,0.0006,0.0002
3.52,23.19,0.03,2.69,0.044026716572018586,4.94,0.76,1.85,0.7720247100353,0.75,0.75,0.124,1.91,1.0,0.008,24.84,3.19,0.08,0.37,0.06,1.0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,12,1.91,14.919354838709678,0.5625,0.00024
4.35,26.85,0.02,0.88,0.044026716572018586,0.64,0.61,0.91,0.7720247100353,0.44,0.006,0.107,13.24,1.19,0.009,0.73,0.5,0.04,0.35,0.0,1.0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,0,0,0,1,0,11,11.126050420168069,8.504672897196262,0.00264,0.00017999999999999998
2.51,13.08,0.04,1.58,0.044026716572018586,2.86,0.87,1.88,0.7720247100353,0.13,0.004,0.085,11.96,1.35,0.008,46.3,4.7,0.1,0.04,0.05,0.0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,10,8.85925925925926,22.117647058823525,0.0005200000000000001,0.00032
2.34,19.9,0.03,2.67,0.044026716572018586,4.3,0.26,0.08,0.7720247100353,0.26,0.003,0.146,7.96,1.56,0.006,51.39,2.41,0.09,0.12,0.05,0.0,0,0,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,1,0,11,5.102564102564102,0.5479452054794521,0.0007800000000000001,0.00017999999999999998
1.71,9.49,0.05,3.63,0.044026716572018586,2.24,0.9,0.22,0.7720247100353,0.63,0.63,0.162,11.4,1.83,0.005,42.64,6.14,0.09,0.44,0.06,0.0,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,0,12,6.229508196721311,1.3580246913580247,0.39690000000000003,0.00025
3.45,22.32,0.01,0.55,0.044026716572018586,2.4,0.36,0.29,0.7720247100353,0.86,0.86,0.048,1.79,1.68,0.005,43.51,5.45,0.07,0.04,0.07,0.0,1,0,0,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,0,9,1.0654761904761905,6.041666666666666,0.7395999999999999,5e-05
